cml_id;isSublink;nRecords;nNAs;timeOfFirstAvailValue;timeOfLastAvailValue;band;frequency;polarisation;site_0_lon;site_0_lat ;site_1_lon;site_1_lat;length;id1;id2;isPairingUnique;nRecords
10032_10178_3149;TRUE;426044;26;13.01.2021 14:05;05.11.2021 10:48;38;39109;vertical;14.434155;50.07972;14.433183;50.0789;120;10032_10178;3149;TRUE;NA
10033_11129_3150;TRUE;426045;54;13.01.2021 14:05;05.11.2021 10:49;38;37278.5;vertical;14.428287;50.074245;14.424992;50.077133;400;10033_11129;3150;TRUE;NA
10033_11129_3150;TRUE;426045;13;13.01.2021 14:05;05.11.2021 10:49;38;38538.5;vertical;14.428287;50.074245;14.424992;50.077133;400;10033_11129;3150;TRUE;NA
10033_11436_3151;TRUE;426044;47;13.01.2021 14:05;05.11.2021 10:48;38;37723;vertical;14.428287;50.074245;14.422956;50.08182;930;10033_11436;3151;TRUE;NA
10033_11436_3151;TRUE;426044;16;13.01.2021 14:05;05.11.2021 10:48;38;38983;vertical;14.428287;50.074245;14.422956;50.08182;930;10033_11436;3151;TRUE;NA
10035_10297_2246;TRUE;313591;12;01.04.2021 16:19;05.11.2021 10:49;80;73500;vertical;14.430597;50.07066;14.433945;50.056;1650;10035_10297;2246;TRUE;NA
10035_10297_2246;TRUE;313591;20;01.04.2021 16:19;05.11.2021 10:49;80;83500;vertical;14.430597;50.07066;14.433945;50.056;1650;10035_10297;2246;TRUE;NA
10040_11084_3152;TRUE;426045;31;13.01.2021 14:05;05.11.2021 10:49;32;32438;vertical;14.422678;50.087654;14.422365;50.08624;160;10040_11084;3152;TRUE;NA
10040_11084_3152;TRUE;426045;16157;13.01.2021 14:05;05.11.2021 10:49;32;33250;vertical;14.422678;50.087654;14.422365;50.08624;160;10040_11084;3152;TRUE;NA
10043_11077_3153;TRUE;426044;21;13.01.2021 14:05;05.11.2021 10:48;32;32522;vertical;14.416982;50.085907;14.418139;50.086166;90;10043_11077;3153;TRUE;NA
10043_11077_3153;TRUE;426044;10;13.01.2021 14:05;05.11.2021 10:48;32;33334;vertical;14.416982;50.085907;14.418139;50.086166;90;10043_11077;3153;TRUE;NA
10044_16099_3154;TRUE;426044;11;13.01.2021 14:05;05.11.2021 10:48;38;37723;vertical;14.427094;50.07592;14.428786;50.075157;150;10044_16099;3154;TRUE;NA
10044_16099_3154;TRUE;426044;32;13.01.2021 14:05;05.11.2021 10:48;38;38983;vertical;14.427094;50.07592;14.428786;50.075157;150;10044_16099;3154;TRUE;NA
10063_307612_3155;TRUE;426044;37;13.01.2021 14:05;05.11.2021 10:48;38;37751;vertical;14.287084;50.097694;14.288436;50.097755;100;10063_307612;3155;TRUE;NA
10063_307612_3155;TRUE;426044;12;13.01.2021 14:05;05.11.2021 10:48;38;39011;vertical;14.287084;50.097694;14.288436;50.097755;100;10063_307612;3155;TRUE;NA
10066_11060_3156;TRUE;426044;19;13.01.2021 14:05;05.11.2021 10:48;38;37821;vertical;14.438495;50.07266;14.438855;50.072815;30;10066_11060;3156;TRUE;NA
10066_11060_3156;TRUE;426044;19;13.01.2021 14:05;05.11.2021 10:48;38;39081;vertical;14.438495;50.07266;14.438855;50.072815;30;10066_11060;3156;TRUE;NA
10082_10484_3157;TRUE;426044;43200;13.01.2021 14:05;19.01.2021 9:10;38;37884;vertical;14.485825;50.100487;14.468414;50.09828;1270;10082_10484;3157;TRUE;NA
10082_10484_3157;TRUE;426044;63;13.01.2021 14:05;05.11.2021 10:48;38;39144;vertical;14.485825;50.100487;14.468414;50.09828;1270;10082_10484;3157;TRUE;NA
10082_10521_2247;TRUE;313589;6;01.04.2021 16:20;05.11.2021 10:48;80;71500;vertical;14.468414;50.09828;14.432361;50.11839;3410;10082_10521;2247;TRUE;NA
10082_10521_2247;TRUE;313589;34;01.04.2021 16:20;05.11.2021 10:48;80;81500;vertical;14.468414;50.09828;14.432361;50.11839;3410;10082_10521;2247;TRUE;NA
10082_11411_2248;TRUE;313590;6;01.04.2021 16:19;05.11.2021 10:48;80;74000;vertical;14.468414;50.09828;14.483868;50.117714;2430;10082_11411;2248;TRUE;NA
10082_11411_2248;TRUE;313590;31;01.04.2021 16:19;05.11.2021 10:48;80;84000;vertical;14.468414;50.09828;14.483868;50.117714;2430;10082_11411;2248;TRUE;NA
10082_12485_3158;TRUE;426044;57;13.01.2021 14:05;05.11.2021 10:48;26;24899;vertical;14.468414;50.09828;14.43625;50.108673;2570;10082_12485;3158;TRUE;NA
